score	shared	disease_id	disease_name
2.487	15	OMIM:614959	Developmental and epileptic encephalopathy 14
2.452	14	OMIM:614558	Epileptic encephalopathy, early infantile, 13
2.302	11	OMIM:620537	Developmental and epileptic encephalopathy 112
2.291	3	OMIM:600512	Epilepsy, familial temporal lobe, 1
2.287	20	OMIM:621608	Developmental and epileptic encephalopathy 122
2.268	12	OMIM:617933	Epileptic encephalopathy, early infantile, 61
2.234	18	OMIM:621475	Developmental and epileptic encephalopathy 121
2.231	23	OMIM:300868	Multiple congenital anomalies-hypotonia-seizures syndrome 2
2.207	10	OMIM:607208	Epileptic encephalopathy, early infantile, 6 (Dravet syndrome)
2.191	19	OMIM:621533	Neurodevelopmental disorder with seizures and impaired intellectual and language development
2.168	7	OMIM:615476	Developmental and epileptic encephalopathy 18
2.168	21	OMIM:621304	Developmental and epileptic encephalopathy 119
2.155	13	OMIM:617281	Epileptic encephalopathy, early infantile, 49
2.137	9	OMIM:619317	Developmental and epileptic encephalopathy 6B, non-Dravet
2.132	18	OMIM:610042	Pitt-Hopkins like syndrome 1
2.129	5	OMIM:620115	Developmental and epileptic encephalopathy 108
2.124	6	OMIM:620806	Developmental and epileptic encephalopathy 116
2.118	18	OMIM:621344	Dursun-Ozgul neurodevelopmental syndrome
2.114	8	OMIM:251280	Microcephaly, seizures, spasticity, and brain calcifications
2.113	14	OMIM:617105	Epileptic encephalopathy, early infantile, 41
2.107	10	OMIM:615338	Developmental and epileptic encephalopathy 16
2.107	9	OMIM:616645	Epileptic encephalopathy, early infantile, 34
2.106	7	OMIM:609304	Epileptic encephalopathy, early infantile, 3
2.103	10	OMIM:615744	Developmental and epileptic encephalopathy 19
2.099	21	OMIM:621201	Neurodevelopmental disorder with dysmorphic facies, brain anomalies, and seizures
2.097	5	ORPHA:95232	Lissencephaly due to LIS1 mutation
2.094	5	OMIM:618396	Epileptic encephalopathy, early infantile, 74
2.088	9	OMIM:612164	Developmental and epileptic encephalopathy 4
2.085	9	OMIM:619605	Developmental and epileptic encephalopathy 98
2.079	5	ORPHA:411986	Early-onset epileptic encephalopathy-cortical blindness-intellectual disability-facial dysmorphism syndrome
2.076	9	OMIM:618012	Developmental and epileptic encephalopathy 93
2.071	14	OMIM:615574	Asparagine synthetase deficiency
2.069	17	OMIM:621354	Neurodevelopmental disorder with growth impairment, quadriparesis, and poor or absent speech
2.058	1	ORPHA:163985	Hyperekplexia-epilepsy syndrome
2.055	1	OMIM:616461	Epilepsy, familial temporal lobe, 8
2.054	8	ORPHA:306	Self-limited infantile epilepsy
2.053	10	OMIM:619606	Developmental and epileptic encephalopathy 99
2.053	8	OMIM:615473	Developmental and epileptic encephalopathy 17
2.053	9	OMIM:260565	Peho syndrome
2.053	12	OMIM:300912	Intellectual developmental disorder, X-linked 98
