pmid	year	pubmed_free_full_text_link	pmcid	type	doi	journal	title	abstract
10786676	2000	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.		Cancer Res	WWOX, a novel WW domain-containing protein mapping to human chromosome 16q23.3-24.1, a region frequently affected in breast cancer.	
11058590	2001	yes		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.	10.1074/jbc.M007140200	J Biol Chem	Hyaluronidase induction of a WW domain-containing oxidoreductase that enhances tumor necrosis factor cytotoxicity.	
11526514	2001	no		Journal Article; Research Support, Non-U.S. Gov't	10.1038/sj.onc.1204674	Oncogene	Identification of homozygous deletions at chromosome 16q23 in aflatoxin B1 exposed hepatocellular carcinoma.	
11572989	2001	yes	PMC58744	Journal Article; Research Support, Non-U.S. Gov't	10.1073/pnas.191175898	Proc Natl Acad Sci U S A	WWOX: a candidate tumor suppressor gene involved in multiple tumor types.	
11719429	2001	no		Journal Article; Research Support, U.S. Gov't, P.H.S.		Cancer Res	WWOX, the FRA16D gene, behaves as a suppressor of tumor growth.	
11744990	2002	no		Journal Article; Research Support, Non-U.S. Gov't; Review		Int J Mol Med	A potential role of p53 and WOX1 in mitochondrial apoptosis (review).	
11896615	2002	no		Comparative Study; Journal Article; Research Support, Non-U.S. Gov't	10.1038/sj.onc.1205273	Oncogene	Alternative transcripts of the candidate tumor suppressor gene, WWOX, are expressed at high levels in human breast tumors.	
11956080	2002	no		Journal Article; Research Support, U.S. Gov't, P.H.S.		Cancer Res	Genetic alterations of the tumor suppressor gene WWOX in esophageal squamous cell carcinoma.	
11960552	2002	yes	PMC102332	Journal Article; Research Support, Non-U.S. Gov't	10.1186/1471-2121-3-8	BMC Cell Biol	Transforming growth factor-beta1 blocks the enhancement of tumor necrosis factor cytotoxicity by hyaluronidase Hyal-2 in L929 fibroblasts.	
11979549	2002	no		Comparative Study; Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.	10.1002/gcc.10047	Genes Chromosomes Cancer	The common fragile site FRA16D and its associated gene WWOX are highly conserved in the mouse at Fra8E1.	
12514174	2003	yes		Journal Article; Research Support, Non-U.S. Gov't	10.1074/jbc.M208373200	J Biol Chem	JNK1 physically interacts with WW domain-containing oxidoreductase (WOX1) and inhibits WOX1-mediated apoptosis.	
12591741	2003	no		Journal Article; Research Support, Non-U.S. Gov't		Cancer Res	WW domain containing oxidoreductase gene expression is altered in non-small cell lung cancer.	
12719539	2003	yes	PMC156308	Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1073/pnas.0931262100	Proc Natl Acad Sci U S A	Parkin, a gene implicated in autosomal recessive juvenile parkinsonism, is a candidate tumor suppressor gene on chromosome 6q25-q27.	
14526170	2003	yes	PMC4150470	Journal Article	10.1159/000072844	Cytogenet Genome Res	WWOX, the common chromosomal fragile site, FRA16D, cancer gene.	
14555208	2003	no		Journal Article; Research Support, Non-U.S. Gov't	10.1016/s0006-2952(03)00484-2	Biochem Pharmacol	Molecular mechanisms underlying WOX1 activation during apoptotic and stress responses.	
14603443	2004	no		Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1002/gcc.10290	Genes Chromosomes Cancer	The role of late/slow replication of the FRA16D in common fragile site induction.	
14614460	2003	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.	10.1038/sj.onc.1207072	Oncogene	Alterations in the common fragile site gene Parkin in ovarian and other cancers.	
14638866	2003	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.		Mol Cancer Res	Expression of FRA16D/WWOX and FRA3B/FHIT genes in hematopoietic malignancies.	
14695174	2003	no		Journal Article; Research Support, Non-U.S. Gov't		Cancer Res	An opposing view on WWOX protein function as a tumor suppressor.	
15007382	2004	no		Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1038/sj.onc.1207474	Oncogene	Integration of high-resolution array comparative genomic hybridization analysis of chromosome 16q with expression array data refines common regions of loss at 16q23-qter and identifies underlying candidate tumor suppressor genes in prostate cancer.	
15026124	2004	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	10.1016/j.neuroscience.2003.12.036	Neuroscience	Expression of WW domain-containing oxidoreductase WOX1 in the developing murine nervous system.	
15044096	2004	no		Journal Article; Research Support, Non-U.S. Gov't	10.1016/j.bbrc.2004.02.159	Biochem Biophys Res Commun	Effect of exogenous E2F-1 on the expression of common chromosome fragile site genes, FHIT and WWOX.	
15064722	2004	yes	PMC4143251	Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.	10.1038/sj.onc.1207680	Oncogene	WWOX binds the specific proline-rich ligand PPXY: identification of candidate interacting proteins.	
15070730	2004	yes	PMC384759	Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1073/pnas.0400805101	Proc Natl Acad Sci U S A	Functional association between Wwox tumor suppressor protein and p73, a p53 homolog.	
15073125	2004	no		Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1158/1078-0432.ccr-03-0096	Clin Cancer Res	The tumor suppressor gene WWOX at FRA16D is involved in pancreatic carcinogenesis.	
15073846	2004	yes		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.	10.1002/cncr.20137	Cancer	The fragile genes FHIT and WWOX are inactivated coordinately in invasive breast carcinoma.	
15101042	2004	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.	10.1002/gcc.20020	Genes Chromosomes Cancer	Parkin gene alterations in hepatocellular carcinoma.	
15126504	2004	yes		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.	10.1074/jbc.M401399200	J Biol Chem	Down-regulation of WW domain-containing oxidoreductase induces Tau phosphorylation in vitro. A potential role in Alzheimer's disease.	
15131042	2004	no		Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1158/1078-0432.ccr-03-0594	Clin Cancer Res	Loss of WWOX expression in gastric carcinoma.	
15145773	2004	no		Journal Article; Review		Eur J Histochem	Common fragile genes.	
15168591	2004	no		Journal Article; Research Support, Non-U.S. Gov't; Review	10.1532/ijh97.03145	Int J Hematol	Alterations of common chromosome fragile sites in hematopoietic malignancies.	
15266310	2004	yes	PMC2364795	Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1038/sj.bjc.6602023	Br J Cancer	Frequent downregulation and loss of WWOX gene expression in human hepatocellular carcinoma.	
15548692	2004	no		Journal Article	10.1158/0008-5472.CAN-04-2055	Cancer Res	Physical and functional interactions between the Wwox tumor suppressor protein and the AP-2gamma transcription factor.	
15580310	2005	no		Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.	10.1038/sj.onc.1208124	Oncogene	17beta-Estradiol upregulates and activates WOX1/WWOXv1 and WOX2/WWOXv2 in vitro: potential role in cancerous progression of breast and prostate to a premetastatic state in vivo.	
15618236	2005	no		Journal Article	10.1093/carcin/bgi005	Carcinogenesis	Unique patterns of gene expression changes in liver after treatment of mice for 2 weeks with different known carcinogens and non-carcinogens.	
15664696	2005	no		Journal Article; Research Support, Non-U.S. Gov't	10.1016/j.neuroscience.2004.07.054	Neuroscience	Light-induced retinal damage involves tyrosine 33 phosphorylation, mitochondrial and nuclear translocation of WW domain-containing oxidoreductase in vivo.	
15674328	2005	no		Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1038/sj.onc.1208398	Oncogene	Fragile genes as biomarkers: epigenetic control of WWOX and FHIT in lung, breast and bladder cancer.	
15692750	2005	yes	PMC4145848	Comparative Study; Journal Article; Research Support, U.S. Gov't, P.H.S.	10.1007/s10549-004-1474-x	Breast Cancer Res Treat	Frequent loss of WWOX expression in breast cancer: correlation with estrogen receptor status.	
15798093	2005	yes		Journal Article; Research Support, Non-U.S. Gov't	10.1158/1541-7786.MCR-04-0209	Mol Cancer Res	Components of DNA damage checkpoint pathway regulate UV exposure-dependent alterations of gene expression of FHIT and WWOX at chromosome fragile sites.	
15814586	2005	no		Journal Article; Research Support, Non-U.S. Gov't	10.1093/hmg/ddi144	Hum Mol Genet	Common chromosomal fragile site FRA16D mutation in cancer cells.	
15870886	2005	yes	PMC4166600	Journal Article; Research Support, Non-U.S. Gov't	10.3892/ijo.26.6.1681	Int J Oncol	WWOX mRNA expression profile in epithelial ovarian cancer supports the role of WWOX variant 1 as a tumour suppressor, although the role of variant 4 remains unclear.	
