pmid	year	free_full_text	type	doi	title
42327583	2026	yes	primary	10.7150/jca.133473	GALNT14-rs9679162 Genotypes Predict Post-immunotherapy Side Effect and Survival in Patients with Hepatitis B Virus-related Hepatocellular Carcinoma
42275215	2026	no	primary	10.1016/j.celrep.2026.117547	RNF138 promotes cisplatin resistance and PD-L1-mediated immune evasion via JAK2/STAT3 activation in nasopharyngeal carcinoma
42266427	2026	yes	primary	10.1093/braincomms/fcag189	Genetic analysis of limbic-predominant age-related TDP-43 encephalopathy neuropathologic change in a population-based cohort of the oldest old
42193054	2026	yes	review	10.3390/cimb48050449	WWOX-Related Epileptic Encephalopathy (WOREE Syndrome): Clinical Case Study and Literature Review
42135313	2026	no	primary	10.1038/s41531-026-01367-y	Multi-locus genetic dosage shapes cognitive disease progression in Parkinson's patients: 15-year meta-analysis of 24 cohorts
42128308	2026	no	review	10.1016/j.nbd.2026.107446	WWOX in brain development and disease: Molecular mechanisms and therapeutic opportunities
42082822	2026	yes	primary	10.1007/s43032-026-02112-9	The Role of WWOX Gene Variant in Hypospadias and 46,XY Disorders of Sexual Development
41984841	2026	yes	primary	10.1073/pnas.2534844123	WWOX maintains epidermal identity and suppresses EMT to prevent aggressive cutaneous squamous cell carcinoma
41966396	2026	no	primary	10.3168/jds.2026-28364	Comprehensive multi-omics analyses reveal small intestinal genetic mechanisms regulating milk protein traits in yak
41963310	2026	yes	primary	10.1038/s41420-026-03023-z	Berry-derived gold nanoparticles induce integrated ROS-mediated apoptosis, immune modulation, and transcriptomic remodeling in 4T1 triple-negative cancer cells
41677633	2026	yes	primary	10.3390/cells15030270	WWOX Induction Promotes Bcl-XL and Mcl-1 Degradation Through a Lysosomal Pathway upon Stress Responses
41562193	2026	yes	primary	10.1002/gcc.70106	Endogenous Processes Underlying Clock-Like Mutational Signatures
41561974	2026	yes	primary	10.3389/fgene.2025.1696764	Genomic and ancestral variations linked to the development of post-acute sequelae of SARS-CoV-2 infection in Indian populations
41510857	2026	no	primary	10.4103/neurol-india.Neurol-India-D-24-00886	An Overview of Drug-Resistant Epilepsies Based on Advances in Genetics: A Cohort Study
41425714	2025	yes	primary	10.32604/or.2025.069230	ETS Family Transcription Factors in Gastric Cancer and the Role of ELF3 in the Core Metaplasia Transcription Factor Network
41378749	2025	yes	primary	10.1002/bdr2.70007	Folate Interaction With Genetic Risk for Neural Tube Defects Among Infants in Bangladesh
41254692	2025	yes	primary	10.1186/s12967-025-07301-9	Integrative multi-omics and Mendelian randomization identify WWOX and THBS2 as potential therapeutic targets in mature T/NK-cell lymphoma
41228229	2025	yes	review	10.3390/cancers17213435	The Role of WWOX in Cancer Progression: Mechanisms and Therapeutic Potential
41154849	2025	yes	primary	10.3390/biology14101446	Genome-Wide Association Study Revealed Candidate Genes Associated with Litter Size, Weight, and Body Size Traits in Tianmu Polytocous Sheep (Ovis aries)
41153369	2025	yes	primary	10.3390/genes16101152	Genetic Etiology of Developmental and Epileptic Encephalopathy in a Turkish Cohort: A Single-Center Study with Targeted Gene Panel and Whole Exome Sequencing
41141138	2025	yes	primary	10.7759/cureus.93160	Intertwined Relationship of WWOX and RUNX2 Proteins as a Biomarker for Predicting Response and Survival in Patients With Childhood Bone Cancer in North India: A Pilot Study
41124647	2026	yes	primary	10.1002/advs.202507602	Genetic and Functional Evidence Links Germline Biallelic Inactivating Variants in WWOX to Histological Mixed-Type Thyroid Cancer
41090157	2025	yes	primary	10.1016/j.bneo.2025.100153	B-cell-specific Wwox deletion promotes plasmablastic tumor development and proinflammatory signatures in myeloma model
41007296	2025	yes	primary	10.3390/biology14091151	Prognostic Significance of WWOX/HIF1A Ratio in Cancer Subtypes: Insights into Metabolism, ECM, and EMT
40507943	2025	yes	review	10.3390/ijms26115132	Hyaluronan: An Architect and Integrator for Cancer and Neural Diseases
40327201	2025	yes	review	10.1007/s10142-025-01601-5	Twenty-five years of WWOX insight in cancer: a treasure trove of knowledge
40263068	2025	no	primary	10.1016/j.tice.2025.102926	"Corrigendum to ""WWOX attenuates the progression of gallbladder cancer by suppressing cellular glycolysis through the modulation of the P73/HIF-1a signaling pathway"" [Tissue Cell 95 (2025) 102885]"
40198927	2025	no	primary	10.1016/j.tice.2025.102885	WWOX attenuates the progression of gallbladder cancer by suppressing cellular glycolysis through the modulation of the P73/HIF-1α signaling pathway
40191585	2025	yes	primary	10.1093/nargab/lqaf033	Identifying individuals with rare disease variants by inferring shared ancestral haplotypes from SNP array data
40139278	2025	no	primary	10.1016/j.nbd.2025.106887	Influence of WWOX/MAF genes on cognitive performance in patients with Parkinson's disease
40006511	2025	yes	primary	10.3390/pharmaceutics17020143	Novel Hydrogel-Mediated Lentiviral Gene Delivery via Intravesical Administration for Bladder Cancer Treatment
39955305	2025	yes	primary	10.1038/s41598-025-86148-y	Integrating bulk RNA-seq and scRNA-seq data to explore diverse cell death patterns and develop a programmed cell death-related relapse prediction model in pediatric B-ALL
39952983	2025	yes	primary	10.1038/s41598-024-81158-8	Genome-wide identification and functional validation of the WW domain containing oxidoreductase gene associated with sleep duration
39933386	2025	no	primary	10.1016/j.seizure.2025.01.025	Infantile Epileptic Spasms Syndrome: Unveiling clinical and genetic variability in a case series from Argentina
39868255	2025	yes	preprint	10.1101/2025.01.17.633677	Partial Wwox Loss of Function Increases Severity of Murine Sepsis and Neuroinflammation
39796213	2025	yes	review	10.3390/ijms26010357	Atypical B-Cell Acute Lymphoblastic Leukemia with iAMP21 in the Context of Constitutional Ring Chromosome 21: A Case Report and Review of the Genetic Insights
39507621	2024	yes	primary	10.3389/fgene.2024.1477466	Case report: Adult patient with WWOX developmental and epileptic encephalopathy: 40 years of observation
39500530	2024	yes	primary	10.1136/jitc-2024-010422	WWOX tuning of oleic acid signaling orchestrates immunosuppressive macrophage polarization and sensitizes hepatocellular carcinoma to immunotherapy
39473747	2024	yes	primary	10.55730/1300-0144.5891	Loss of WWOX contributes to cisplatin resistance in triple-negative breast cancer cells by modulating miR-182 and miR-214
39420317	2024	yes	primary	10.1186/s12964-024-01866-6	Dissociation of the nuclear WWOX/TRAF2 switch renders UV/cold shock-mediated nuclear bubbling cell death at low temperatures
39416860	2024	yes	primary	10.3389/fped.2024.1453778	WWOX-related epileptic encephalopathy caused by a novel mutation in the WWOX gene: a case report
39332629	2024	no	primary	10.1016/j.jmoldx.2024.08.004	High Prevalence of Chromosomal Rearrangements and LINE Retrotranspositions Detected in Formalin-Fixed, Paraffin-Embedded Colorectal Cancer Tissue
39223676	2024	yes	primary	10.1186/s13293-024-00644-w	Whole-genome de novo sequencing reveals genomic variants associated with differences of sex development in SRY negative pigs
39101447	2024	yes	primary	10.1002/mgg3.2500	Developmental epileptic encephalopathy caused by homozygosity of a c.172+1G>C variant in the WWOX gene
39087877	2025	yes	primary	10.1093/sleep/zsae169	Novel susceptibility genes and biomarkers for obstructive sleep apnea: insights from genetic and inflammatory proteins
38886371	2024	yes	primary	10.1038/s41598-024-63943-7	In vitro evolution and whole genome analysis to study chemotherapy drug resistance in haploid human cells
38563965	2024	yes	primary	10.1152/ajplung.00277.2023	Endothelial knockdown of the tumor suppressor, WWOX, increases inflammation in ventilator-induced lung injury
38542478	2024	yes	review	10.3390/ijms25063507	Zfra Overrides WWOX in Suppressing the Progression of Neurodegeneration
38499540	2024	yes	primary	10.1038/s41420-024-01878-8	Unveiling the relationship between WWOX and BRCA1 in mammary tumorigenicity and in DNA repair pathway selection
38384455	2024	yes	primary	10.3389/fimmu.2024.1280876	A genome-wide association study on hematopoietic stem cell transplantation reveals novel genomic loci associated with transplant outcomes
38355659	2024	yes	primary	10.1038/s41419-024-06518-8	Correction: WWOX promotes osteosarcoma development via upregulation of Myc
38282791	2024	yes	primary	10.2147/CMAR.S460239	LncRNA HOTAIRM1 Inhibits the Proliferation and Invasion of Lung Adenocarcinoma Cells via the miR-498/WWOX Axis [Retraction]
38232788	2024	no	primary	10.1016/j.exger.2024.112362	14-Week exercise training modifies the DNA methylation levels at gene sites in non-Alzheimer's disease women aged 50 to 70 years
38203337	2023	yes	primary	10.3390/ijms25010167	Mechanistic Investigation of WWOX Function in NF-kB-Induced Skin Inflammation in Psoriasis
38182577	2024	yes	primary	10.1038/s41419-023-06378-8	WWOX promotes osteosarcoma development via upregulation of Myc
38161429	2023	yes	review	10.3389/fped.2023.1301166	Neuroimaging features of WOREE syndrome: a mini-review of the literature
